"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",2485557266.49254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_commercial_industrial",359746030.130731,96131438.2345166,153.727958754371,3199846.27037508,0,10890172.4610622,126287.418718265,1134038.04052336,0,217687612.080226,44286.4002272898,7371763.2428522,606609.754850252,22342227.3386461,0,211555.052545117
"building_commercial_innercity",24505485.6052455,1205884.32515442,45682.111834554,121381.904244937,25221.38957295,2798904.07394409,90708.1563914283,3535.2250139367,5179235.97936946,12412470.7329939,158.790593066778,74472.7780385967,43875.0346998421,938987.4600223,351351.518691879,1213639.18880869
"building_highrise",12284847.3863335,234982.936870933,5755.700417744,3119.58774265368,0,927451.420325994,24738.8418436125,35588.6687537655,0,10231533.0869789,0,28624.92278146,10412.3098170683,632764.423307657,17410.4061633386,132470.774944127
"building_lightweight",71702058.2852421,0,822633.150073469,1115302.46582446,0,5313899.04487059,0,0,0,54126158.1078897,0,0,0,6808875.12332165,0,3515177.09585851
"building_multifamily",54176219.1688232,2665940.6722436,100993.109683305,268348.254850298,55758.8964376003,6187741.87156391,200535.51099059,7815.57967555709,11450140.7845726,27441193.0849419,351.050585682911,164642.507749647,96997.8680325896,2075894.72407508,776760.607160926,2683089.50058961
"building_singlefamily",629933250.631912,38501950.878993,16714606.4948864,26179544.7271285,0,46000641.6315064,2281416.42227331,86497.9539463203,23188188.9628034,407310462.261265,114715.28405892,6892463.82268932,4232870.67499715,13865508.861489,17274510.9128115,27289931.8686748
"building_skyscraper",10644248.09375,0,0,6880.5659828186,0,284394.438476562,61924.7916564941,0,0,9034880.24609375,0,282101.047485352,0,974068.513183594,0,0
"building",1162990853.25296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",29831376.2929688,29302422.2565918,0,0,0,0,0,528942.86655426,0,0,0,0,0,0,0,0
"other_parking",32991196.076355,32336450.5680084,0,0,0,0,0,654743.132987022,0,0,0,0,0,0,0,0
"other_remaining_impervious",308483213.017881,302360974.424089,0,0,0,0,0,6122161.32885814,0,0,0,0,0,0,0,0
"other",371305546.624542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",2483184.06369019,0,0,0,0,0,0,0,0,189650.712772369,0,0,0,2293534.79582977,0,0
"rail_other",872163.187503815,56699.7353072166,0,0,0,0,0,0,0,789746.524681091,1417.49201120436,0,0,24299.8706337214,0,0
"rail_railway",68143867.8157973,64396371.2749977,0,0,0,0,0,0,0,401348.428882552,0,0,0,1374610.46552046,0,1971619.38474057
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",98037.3115234375,6373.44104003906,0,0,0,0,0,0,0,88772.9658203125,159.335943222046,0,0,2731.47427368164,0,0
"rail_tunnel",3502383.3034668,0,0,0,0,0,0,0,0,3375143.25164795,0,0,0,127242.880062103,0,0
"rail",75099653.2859206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",8511834.015625,0,0,0,0,0,0,0,0,7909684.8659668,0,0,0,602145.631912231,0,0
"street_bridge_other",6235336.40226364,0,0,0,0,0,0,0,0,5642660.75153732,0,0,0,592671.916553259,0,0
"street_local",526670413.579041,509783846.29834,0,0,0,0,0,5934051.90865135,0,10951826.6569061,0,0,0,0,0,0
"street_motorway",112913459.290527,91832017.4110107,0,0,0,0,0,1140425.88402176,0,19941043.3656006,0,0,0,0,0,0
"street_motorway_elevated",2281549.48413086,2167470.74255371,0,0,0,0,0,114077.442771912,0,0,0,0,0,0,0,0
"street_other_elevated",1315049.74377728,1249296.43308353,0,0,0,0,0,65752.4701830447,0,0,0,0,0,0,0,0
"street_primary",30386243.7720947,26662794.986084,0,0,0,0,0,421503.331867218,0,3301949.07582092,0,0,0,0,0,0
"street_secondary",68886130.5128555,62509018.0168228,0,0,0,0,0,978753.229857087,0,5398073.49612856,0,0,0,0,0,0
"street_tertiary",86955502.8338623,81464819.5291748,0,0,0,0,0,1213183.65788841,0,4277587.40164185,0,0,0,0,0,0
"street_track",29366858.6492025,29162759.3943947,0,0,0,0,0,71727.3464810632,0,132379.70012995,0,0,0,0,0,0
"street_tunnel",2639895.86528015,0,0,0,0,0,0,0,0,2543987.09450531,0,0,0,95908.4469563961,0,0
"street",876161823.406661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
