"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";3233299689,22028;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";436785871,912106;116718042,612116;186,64879077148;3885094,98283964;0;13222313,6026073;153332,068039615;1376893,12767273;0;264305716,982647;53770,4082620069;8950433,45137262;736516,292908818;27126832,1744206;0;256859,80957748
"building_commercial_innercity";18921451,2308159;931100,11003685;35272,5857324526;93722,6763826013;19474,1979755722;2161119,97731686;70038,5973016024;2729,65303085512;3999051,6110363;9584042,83356285;122,607104954193;57502,7455230504;33877,2340459898;725021,29161334;271289,470240891;937089,472480059
"building_highrise";3891527,72338867;74436,5626394749;1823,2588808611;988,205446887761;0;293792,854394913;7836,6337736845;11273,5740079284;0;3241088,11695862;0;9067,64779275656;3298,35500696301;200443,636953354;5515,17067039013;41963,380658865
"building_lightweight";95066354,837842;0;1090691,30623884;1478726,14659631;0;7045450,72623545;0;0;0;71763300,3594437;0;0;0;9027568,99316466;0;4660606,37122941
"building_multifamily";110656384,388956;5445257,81042695;206280,969251033;548109,009104066;113888,990025168;12638659,3196249;409599,284610108;15963,5462755379;23387243,2322228;56049389,6984472;717,030513426384;336287,313235123;198120,891315889;4240068,6034199;1586555,27923499;5480282,17396164
"building_singlefamily";976082552,437775;206228494,906738;13001738,9303288;15811230,7843673;0;95196528,4797726;2583072,0247879;463310,036255434;124203268,032913;416068707,211548;257576,990793068;4446869,90518761;4817504,81055546;6551905,64825857;26734695,7632604;59717630,5215759
"building_skyscraper";2206413;0;0;1426,2509765625;0;58951,23828125;12836,1953125;0;0;1872811,75;0;58475,84375;0;201911,65625;0;0
"building";1643611195,77737;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";28716456,3056641;28207285,7905273;0;0;0;0;0;509174,801605225;0;0;0;0;0;0;0;0
"other_parking";7760678,07443237;7606661,53104401;0;0;0;0;0;154018,532994747;0;0;0;0;0;0;0;0
"other_remaining_impervious";253118353,090179;248094946,577423;0;0;0;0;0;5023385,32530665;0;0;0;0;0;0;0;0
"other";289595383,260101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1554743,57756042;0;0;0;0;0;0;0;0;118741,908213615;0;0;0;1436001,75348663;0;0
"rail_other";1126128,07198334;73209,7150611877;0;0;0;0;0;0;0;1019711,04533386;1830,25322090089;0;0;31375,6846675873;0;0
"rail_railway";68727821,0683594;64948118,8066406;0;0;0;0;0;0;0;404787,803710938;0;0;0;1386390,32315063;0;1988512,94720459
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";41471,5085449219;2696,07992553711;0;0;0;0;0;0;0;37552,5576171875;67,4020056724548;0;0;1155,46279144287;0;0
"rail_tunnel";179617,149658203;0;0;0;0;0;0;0;0;173091,600830078;0;0;0;6525,55323791504;0;0
"rail";71629779,3227692;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";8337102,88110352;0;0;0;0;0;0;0;0;7747318,4609375;0;0;0;589784,737854004;0;0
"street_bridge_other";7425409,64565277;0;0;0;0;0;0;0;0;6719619,87523651;0;0;0;705789,644985199;0;0
"street_local";579935697,578186;561698105,111694;0;0;0;0;0;6409101,90024042;0;11828548,3800201;0;0;0;0;0;0
"street_motorway";164375046,822754;133685541,599121;0;0;0;0;0;1660188,99367142;0;29029431,654541;0;0;0;0;0;0
"street_motorway_elevated";2226148,24432373;2114841,0133667;0;0;0;0;0;111307,436914444;0;0;0;0;0;0;0;0
"street_other_elevated";1566072,26423264;1487768,63734436;0;0;0;0;0;78303,6062130928;0;0;0;0;0;0;0;0
"street_primary";46269677,211792;40599886,6358337;0;0;0;0;0;641829,347810268;0;5027932,5120163;0;0;0;0;0;0
"street_secondary";188949576,744476;171457693,917816;0;0;0;0;0;2684644,45309258;0;14806503,0747337;0;0;0;0;0;0
"street_tertiary";220923316,134689;206973299,371002;0;0;0;0;0;3082274,1930294;0;10867845,378531;0;0;0;0;0;0
"street_track";7734373,9048028;7686493,37637329;0;0;0;0;0;16829,0655943705;0;31059,6224030713;0;0;0;0;0;0
"street_tunnel";720047,986221313;0;0;0;0;0;0;0;0;693888,46005249;0;0;0;26159,5939970016;0;0
"street";1228462637,24176;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
