"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_Gt_10km2";0,938248;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_kt_100m2";938250;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_Mt_1km2";938,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"grand_total_t_10m2";938250000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_commercial_industrial";55682800;12190300;878891;433560;0;1475560;17110,4;109712;0;29152800;6000,66;998832;82191,5;10279600;0;58270,2
"building_commercial_innercity";1091990;45719,1;6280,38;5332,96;954,594;77573,6;6328,31;66070,8;196026;571634;6,01744;3801,49;0;46406,4;13298,1;52554
"building_highrise";347266;70830,6;33,0861;0;63,2416;28361,8;0;0;0;219330;242,426;577,636;144,602;11288,9;0;16394,4
"building_lightweight";8320930;0;188766;127961;0;609677;0;0;0;6210030;0;0;0;781199;0;403305
"building_multifamily";497098;20812,4;2858,98;2427,69;434,554;35313,4;2880,8;30077;89235,7;260221;2,73928;1730,53;0;21125,3;6053,62;23923,8
"building_singlefamily";76798200;13668100;2003650;1964570;0;8690810;196020;0;10178800;32027100;24489;466955;397120;748339;1712630;4719610
"building_skyscraper";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"other_airport";17177300;16962500;0;0;0;0;0;214787;0;0;0;0;0;0;0;0
"other_parking";10098900;9972620;0;0;0;0;0;126278;0;0;0;0;0;0;0;0
"other_remaining_impervious";110854000;109468000;0;0;0;0;0;1386140;0;0;0;0;0;0;0;0
"rail_bridge";533026;0;0;0;0;0;0;0;0;40709,3;0;0;0;492316;0;0
"rail_other";47474,8;3086,36;0;0;0;0;0;0;0;42988,6;77,159;0;0;1322,73;0;0
"rail_railway";47922600;45287100;0;0;0;0;0;0;0;282251;0;0;0;966704;0;1386550
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";474395;0;0;0;0;0;0;0;0;457160;0;0;0;17234,9;0;0
"street_bridge_motorway";2454980;0;0;0;0;0;0;0;0;2281310;0;0;0;173671;0;0
"street_bridge_other";1489770;0;0;0;0;0;0;0;0;1348160;0;0;0;141603;0;0
"street_local";276734000;269122000;0;0;0;0;0;2662210;0;4949600;0;0;0;0;0;0
"street_motorway";97555700;79321800;0;0;0;0;0;979543;0;17254300;0;0;0;0;0;0
"street_motorway_elevated";653310;620645;0;0;0;0;0;32665,5;0;0;0;0;0;0;0;0
"street_other_elevated";314203;298493;0;0;0;0;0;15710,1;0;0;0;0;0;0;0;0
"street_primary";3006030;2637230;0;0;0;0;0;41476,9;0;327317;0;0;0;0;0;0
"street_secondary";69189600;62778500;0;0;0;0;0;977905;0;5433190;0;0;0;0;0;0
"street_tertiary";34076100;31923500;0;0;0;0;0;472905;0;1679730;0;0;0;0;0;0
"street_track";122569000;122149000;0;0;0;0;0;146934;0;273180;0;0;0;0;0;0
"street_tunnel";360809;0;0;0;0;0;0;0;0;347701;0;0;0;13108,3;0;0
"building";142738000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other";138131000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail";48977500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street";608403000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
