zone;sum
-9999;0.0
0;2718.895439
1;1957468.261719
2;5700162.03125
3;30874159.398926
4;2208745.25
5;992047.3125
6;3895272.0
7;2223971.087402
8;4548032.625
9;835561.4375
10;1130563.066406
11;1807233.0
12;6837946.03125
13;3600215.5
14;5008788.273438
15;4191704.316772
16;13528955.78125
17;3445739.012695
18;20302160.0
19;1491756.972656
20;353193.25
21;15152448.0
22;4505301.0
23;916461.0
24;9908155.0
25;12737178.234375
26;8869169.0
27;7061665.242188
28;5428221.938232
29;22168940.0
30;1845654.399933
31;5105406.5
32;1936390.25
33;1052033.375
34;852376.126465
35;1617703.897461
36;19214802.0
37;11087249.797729
38;117556635.75
39;22661506.783691
40;11863951.383545
41;1402275.25
42;1241237.4765619999
43;10992484.1875
44;5485104.7032469995
45;61203540.625
46;2573176.1875
47;55459018.834565
48;3926540.289062
49;23994979.0
50;7076864.0
51;3457864.0
52;16528854.8125
53;51800320.0
54;1838279.375
55;991879.582405
56;5437070.457642
57;2484657.8125
58;9661480.0
59;9149730.875
60;38988086.75
61;2040432.93335
62;16447691.75
63;3818227.28125
64;30366267.25
65;1065470.421875
66;8063802.296875
67;4197135.5
68;3006028.25
69;5938170.589844
70;6488119.296875
71;5248735.0
72;38338812.0
73;4909081.0
74;2772851.0
75;2526567.25
76;8464935.0
77;13960827.615234
78;18156598.8125
79;7824743.125
80;4108323.96875
81;2663949.90625
82;8200191.3125
83;2705347.28125
84;1750201.390625
85;916327.5625
86;8578617.0
87;2211501.25
88;1995021.42627
89;3159790.114258
90;3778108.375
91;19693003.0
92;2217179.75
93;545539.085938
94;5636092.25
95;16910445.433594
96;2617920.152344
97;8479463.649902
98;5899696.162109
99;3272601.132812
100;8289384.020018999
101;1742497.3515619999
102;4077076.142334
103;26113489.618164
104;2510425.75
105;1819237.683594
106;1146096.765625
107;1450238.0625
108;3394963.677734
109;7603445.375
110;2397148.0
111;3785137.5
112;1416744.9765619999
113;1901119.625
114;11112540.335938
115;1086751.476562
116;19394435.75
117;834353.317871
118;1673598.75
119;243699.462891
120;5765091.78125
121;1325289.380371
122;3254594.1875
123;3815964.34375
124;3194383.125
125;9310260.0
126;2373244.65625
127;93976040.0
128;655914.1210940001
129;2273612.0
130;538156.713134
131;28019790.8125
132;1531861.458984
133;1620571.28125
134;3649959.609375
135;14187745.71875
136;1119491.546875
137;2509897.5
138;17508344.816406
139;8120102.776367
140;30403357.5
141;18598196.5
142;1378343.96167
143;2509831.25
144;7482910.681488
145;16269344.8125
146;31139512.109375
147;5573966.745544
148;2263984.5625
149;6778236.052216
150;7334899.851562
151;658872226.65625
152;39697437.154541
153;13394310.53125
154;126939121.189148
155;40648260.267578
156;3971273.852749
157;23027456.916014
158;44269323.125
159;226847376.0
160;3840857.609375
161;495729.21875
162;34559440.09375
163;2575184.131836
164;5762623.125
165;145114758.0
166;6766751.480468
167;12848837.5
168;173814157.28233302
169;8896291.0
170;21158024.703125
171;36575052.0
172;8239269.093994
173;195316835.754883
174;40388696.0
175;4078029.24707
176;1061182131.806152
177;5479514.626953
178;1599942.074157
179;35755498.792969
180;15197582.088867
181;11019477.401321
182;28135164.75
183;7692229.96875
184;1281611.375
185;56150399.392792
186;22647587.75
187;8016117.25
188;392961922.546875
189;57518770.449219
190;4295572.177062999
191;326348213.393555
192;287689436.266418
193;41543268.9375
194;207365884.0
195;474388473.4375
196;488651.494628
197;44295668.0
198;30965891.404296
199;10372419.1875
200;151340916.296875
201;12344239.831420999
202;215817454.868164
203;81418512.5
204;92068932.332031
205;63299036.755859
206;32392734.849609
207;85515910.90625
208;15571715.746094
209;23055719.0
210;12143386.003906
211;72007146.5
212;4103887.835937
213;4385179.253357001
214;93538173.90646401
215;41929370.0
216;11460181.499451
217;65757692.429688
218;1139205.306885
219;86086082.889893
220;5832268.375
221;755636.59375
222;413479.116547
223;31215758.5
224;10449669.0
225;3956831.109375
226;671950.091797
227;1561926.375
228;994718.765625
229;219738.765625
230;641205.379639
231;445012.34375
232;84096304.0
233;102287.074219
234;5355293.0
235;37503063.266113
236;8769798.40625
237;1248220.034424
238;84579966.609863
239;6645289.268066
240;7192298.185547
241;553082.4375
242;4743491.421874
243;3794362.52295
244;145480.298828
245;1161871.1484380001
246;513084.269531
247;58235383.992188
248;188264.1875
249;1904803.875
250;3405061.984375
251;1042634.9222720001
252;1304701.337036
253;4123655.15625
254;40174426.478516
255;1592525.516603
256;35821346.75
257;3032783.971679
258;337234.530273
259;6144207.195312999
260;9206298.722656
261;1704909.263672
262;3086786.876648
263;353024.527344
264;901043.40625
265;930957.213799
266;2702857.0
267;2677838.589493
268;43161515.984131
269;2041590.465668
270;3195770.452148
271;3796915.714844
272;553344.4375
273;1238334.708497
274;97255.007812
275;576562.466797
276;7963454.40625
277;955345.6875
278;970213.117188
279;48297613.25
280;2139266.75
281;112761382.0
282;138365119.392822
283;18464038.0
284;20608896.0
285;121956268.0
286;48815752.0
287;8889157.4375
288;11890423.5
289;36796580.0
290;28171379.0
291;72863328.0
292;40914492.0
293;16537192.0
294;2137708.75
295;97622392.0
296;2087574.0625
297;179893293.03125
298;41992067.0625
299;989427.125
300;28469316.0
301;14530065.0
302;59877693.5
303;7427421.820801
304;19905333.75
305;226287468.054687
306;3694634.0
307;2910498.929688
308;153184359.0
309;54621503.0
310;9671591.0
311;6721274.8125
312;4580358.0
313;1017171.5
314;1507152.394531
315;2066952.40625
316;22066017.429688
317;2628378.953125
318;13448791.5625
319;192320274.347656
320;1972591.996582
321;1120766.367676
322;4925250.532349
323;18842937.515625
324;5078685.75
325;960740.0117190001
326;105982936.0
327;741750.883179
328;671394.984375
329;33252004.75
330;21853718.003906
331;4229268.161133001
332;1578565.6875
333;34069930.640625
334;59739586.8125
335;24754873.5
336;21320034.125
337;9264732.3125
338;40113234.604492
339;5368672.1875
340;152077799.25
341;30648607.30542
342;130498816.4375
343;162682449.510254
344;81277770.875
345;76717661.635071
