zone;sum
-9999;0.0
0;422.256904
1;84634.016601
2;934205.21875
3;683340.1835940001
4;418395.375
5;0.0
6;336245.5
7;821047.992187
8;292254.53125
9;0.0
10;399429.710938
11;511336.9375
12;180288.284546
13;0.0
14;1068922.589844
15;799513.1875
16;1734681.453125
17;509842.515625
18;1498020.625
19;670177.617188
20;215407.890625
21;541438.75
22;757706.9375
23;484201.28125
24;661691.75
25;1000502.693359
26;2053729.625
27;282106.34375
28;1620255.75
29;1162606.5
30;367663.296875
31;383508.34375
32;25647.170899
33;1246702.171875
34;378881.339843
35;482402.8125
36;1397043.0
37;1690710.648438
38;9023080.75
39;1043376.375
40;821520.1875
41;688684.78125
42;854037.28125
43;356755.15625
44;435908.04541099997
45;4431944.9375
46;461383.0625
47;1001060.3125
48;1937003.3125
49;1280051.6875
50;383366.09375
51;1456032.625
52;359658.28125
53;2542754.75
54;1003895.5
55;100139.210938
56;1018660.625
57;568426.15625
58;684242.0
59;1558799.2734369999
60;3120390.9375
61;593473.6875
62;2815972.96875
63;561661.6875
64;2212681.6875
65;1019176.546875
66;2072508.171875
67;400744.410156
68;657375.9375
69;498897.644531
70;1156570.8828119999
71;637717.3125
72;1194237.125
73;615540.5625
74;667973.125
75;1292723.5
76;0.0
77;1918553.0
78;1392667.584961
79;894407.71875
80;834347.291016
81;21844.839844
82;427214.070312
83;1250728.1015619999
84;467027.8125
85;398202.8125
86;1192395.375
87;711335.09375
88;219789.734375
89;1092928.875
90;777629.28125
91;386680.15625
92;433572.53125
93;244122.21875
94;763331.078125
95;471481.78125
96;0.0
97;1549158.847656
98;859215.414062
99;848574.0625
100;1036487.46875
101;735205.28125
102;835422.149414
103;2842318.9140640004
104;478261.65625
105;235841.109375
106;321751.8125
107;713705.0625
108;0.0
109;312157.742188
110;1624384.683594
111;1058952.625
112;0.0
113;666884.566406
114;1195310.9609380001
115;442476.640625
116;1805325.9375
117;11507.05957
118;347054.3125
119;2952.831299
120;1269834.8125
121;49131.806640999996
122;610996.28125
123;1084379.6640619999
124;1116469.28125
125;694791.8125
126;77063.65625
127;4102893.0
128;644632.3802799999
129;59327.257812
130;0.0
131;980524.25
132;401081.25
133;326022.03125
134;1051008.265625
135;552991.8125
136;0.0
137;1058255.375
138;1018127.6875
139;645.805542
140;726584.59375
141;1116042.46875
142;695019.8125
143;317877.90625
144;2763900.796875
145;3594435.33844
146;6436436.28125
