FID,HASC_2,ID,AREA_KM2
0, ,1,11979.234259600000000
1,US.AL.AU,2,1561.871368890000000
2,US.AL.BD,3,4990.148429470000300
3,US.AL.BI,4,1620.568694849999900
4,US.AL.BL,5,1622.707406369999900
5,US.AL.BR,6,2328.418990040000200
6,US.AL.BT,7,2011.507312649999900
7,US.AL.BU,8,1691.638745040000000
8,US.AL.CA,9,1576.554322400000000
9,US.AL.CB,10,1451.330858760000000
10,US.AL.CC,11,2376.529101610000000
11,US.AL.CF,12,1759.847778600000100
12,US.AL.CH,13,1549.405830900000000
13,US.AL.CI,14,1810.212396670000100
14,US.AL.CK,15,3242.178468820000000
15,US.AL.CL,16,1618.814256290000000
16,US.AL.CM,17,1556.185355829999900
17,US.AL.CN,18,1590.554880940000000
18,US.AL.CO,19,2213.268355449999900
19,US.AL.CS,20,1730.979046590000100
20,US.AL.CU,21,1947.940299319999900
21,US.AL.CV,22,2706.461376130000200
22,US.AL.CY,23,1569.101938110000000
23,US.AL.DA,24,2015.212354430000000
24,US.AL.DE,25,1455.857017110000000
25,US.AL.DL,26,2579.996008210000100
26,US.AL.EL,27,1693.121902509999900
27,US.AL.ES,28,2449.581038259999800
28,US.AL.ET,29,1425.576166240000000
29,US.AL.FA,30,1630.613471749999900
30,US.AL.FR,31,1674.145086589999900
31,US.AL.GE,32,1498.476869840000100
32,US.AL.GR,33,1706.913111760000000
33,US.AL.HA,34,1697.673067859999900
34,US.AL.HE,35,1454.814533790000000
35,US.AL.HO,36,1497.354218750000000
36,US.AL.JA,37,2924.788397670000000
37,US.AL.JE,38,2911.510640850000100
38,US.AL.LE,39,1593.364058449999900
39,US.AL.LI,40,1571.781210370000100
40,US.AL.LM,41,1565.284287190000000
41,US.AL.LO,42,1880.913842389999900
42,US.AL.LU,43,1862.223501519999900
43,US.AL.LW,44,1861.594620720000000
44,US.AL.MB,45,4061.491806130000000
45,US.AL.MC,46,1587.689783660000100
46,US.AL.MD,47,2103.553471960000000
47,US.AL.ME,48,2547.562812279999900
48,US.AL.MG,49,1550.467251950000000
49,US.AL.MI,50,1922.366967850000000
50,US.AL.MR,51,2674.537598550000000
