SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2018
40,3,6,1,0,Alabama,Alabama,4887681
50,3,6,1,1,Alabama,Autauga County,55533
50,3,6,1,3,Alabama,Baldwin County,217855
50,3,6,1,5,Alabama,Barbour County,24872
50,3,6,1,7,Alabama,Bibb County,22367
50,3,6,1,9,Alabama,Blount County,57771
50,3,6,1,11,Alabama,Bullock County,10174
50,3,6,1,13,Alabama,Butler County,19631
50,3,6,1,15,Alabama,Calhoun County,114331
50,3,6,1,17,Alabama,Chambers County,33600
50,3,6,1,19,Alabama,Cherokee County,26014
50,3,6,1,21,Alabama,Chilton County,44163
50,3,6,1,23,Alabama,Choctaw County,12833
50,3,6,1,25,Alabama,Clarke County,23918
50,3,6,1,27,Alabama,Clay County,13294
50,3,6,1,29,Alabama,Cleburne County,15010
50,3,6,1,31,Alabama,Coffee County,51950
50,3,6,1,33,Alabama,Colbert County,55004
50,3,6,1,35,Alabama,Conecuh County,12292
50,3,6,1,37,Alabama,Coosa County,10643
50,3,6,1,39,Alabama,Covington County,36953
50,3,6,1,41,Alabama,Crenshaw County,13825
50,3,6,1,43,Alabama,Cullman County,83418
50,3,6,1,45,Alabama,Dale County,49143
50,3,6,1,47,Alabama,Dallas County,38294
50,3,6,1,49,Alabama,DeKalb County,71407
50,3,6,1,51,Alabama,Elmore County,81011
50,3,6,1,53,Alabama,Escambia County,36524
50,3,6,1,55,Alabama,Etowah County,102611
50,3,6,1,57,Alabama,Fayette County,16445
50,3,6,1,59,Alabama,Franklin County,31298
50,3,6,1,61,Alabama,Geneva County,26306
50,3,6,1,63,Alabama,Greene County,8209
50,3,6,1,65,Alabama,Hale County,14749
50,3,6,1,67,Alabama,Henry County,17173
50,3,6,1,69,Alabama,Houston County,104770
50,3,6,1,71,Alabama,Jackson County,51621
50,3,6,1,73,Alabama,Jefferson County,659429
50,3,6,1,75,Alabama,Lamar County,13882
50,3,6,1,77,Alabama,Lauderdale County,92604
50,3,6,1,79,Alabama,Lawrence County,32941
50,3,6,1,81,Alabama,Lee County,163656
50,3,6,1,83,Alabama,Limestone County,96177
50,3,6,1,85,Alabama,Lowndes County,9974
50,3,6,1,87,Alabama,Macon County,18321
50,3,6,1,89,Alabama,Madison County,367004
50,3,6,1,91,Alabama,Marengo County,19056
50,3,6,1,93,Alabama,Marion County,29750
50,3,6,1,95,Alabama,Marshall County,96170
50,3,6,1,97,Alabama,Mobile County,413908
50,3,6,1,99,Alabama,Monroe County,21062
50,3,6,1,101,Alabama,Montgomery County,226504
50,3,6,1,103,Alabama,Morgan County,119203
50,3,6,1,105,Alabama,Perry County,9070
50,3,6,1,107,Alabama,Pickens County,19980
50,3,6,1,109,Alabama,Pike County,33242
50,3,6,1,111,Alabama,Randolph County,22727
50,3,6,1,113,Alabama,Russell County,57784
50,3,6,1,115,Alabama,St. Clair County,88654
50,3,6,1,117,Alabama,Shelby County,215583
50,3,6,1,119,Alabama,Sumter County,12634
50,3,6,1,121,Alabama,Talladega County,80137
