"","FIPS","YEAR","POP"
"1","01001","1980",32217
"2","01003","1980",78949
"3","01005","1980",24739
"4","01007","1980",15745
"5","01009","1980",36536
"6","01011","1980",10601
"7","01013","1980",21772
"8","01015","1980",120025
"9","01017","1980",39228
"10","01019","1980",18887
"11","01021","1980",30647
"12","01023","1980",16800
"13","01025","1980",27773
"14","01027","1980",13738
"15","01029","1980",12648
"16","01031","1980",38781
"17","01033","1980",54586
"18","01035","1980",15831
"19","01037","1980",11388
"20","01039","1980",36891
"21","01041","1980",14120
"22","01043","1980",61790
"23","01045","1980",48003
"24","01047","1980",53896
"25","01049","1980",53833
"26","01051","1980",43472
"27","01053","1980",38256
"28","01055","1980",103135
"29","01057","1980",18851
"30","01059","1980",28346
"31","01061","1980",24202
"32","01063","1980",11017
"33","01065","1980",15584
"34","01067","1980",15319
"35","01069","1980",74983
"36","01071","1980",51449
"37","01073","1980",670615
"38","01075","1980",16453
"39","01077","1980",80771
"40","01079","1980",30201
"41","01081","1980",76617
"42","01083","1980",45996
"43","01085","1980",13204
"44","01087","1980",26734
"45","01089","1980",197614
"46","01091","1980",24958
"47","01093","1980",30130
"48","01095","1980",65849
"49","01097","1980",366058
"50","01099","1980",22637
"51","01101","1980",197491
"52","01103","1980",90276
"53","01105","1980",14969
"54","01107","1980",21530
"55","01109","1980",28134
"56","01111","1980",20106
"57","01113","1980",47241
"58","01115","1980",41334
"59","01117","1980",66937
"60","01119","1980",16919
"61","01121","1980",73924
"62","01123","1980",38768
"63","01125","1980",137814
"64","01127","1980",68647
"65","01129","1980",16963
"66","01131","1980",14762
"67","01133","1980",21981
"68","04001","1980",51508
"69","04003","1980",86220
"70","04005","1980",75383
"71","04007","1980",37247
"72","04009","1980",22908
"73","04011","1980",11425
"74","04012","1980",12531
"75","04013","1980",1521597
"76","04015","1980",56442
"77","04017","1980",67144
"78","04019","1980",535975
"79","04021","1980",91302
"80","04023","1980",20520
"81","04025","1980",68752
"82","04027","1980",76886
"83","05001","1980",24193
"84","05003","1980",26602
"85","05005","1980",27499
"86","05007","1980",78413
"87","05009","1980",26133
"88","05011","1980",13764
"89","05013","1980",6074
"90","05015","1980",16231
"91","05017","1980",17802
"92","05019","1980",23316
"93","05021","1980",20559
"94","05023","1980",16921
"95","05025","1980",7887
"96","05027","1980",26667
"97","05029","1980",19481
"98","05031","1980",63343
"99","05033","1980",36963
"100","05035","1980",49466
"101","05037","1980",20449
"102","05039","1980",10506
"103","05041","1980",19704
"104","05043","1980",17925
"105","05045","1980",46367
"106","05047","1980",14703
"107","05049","1980",9978
"108","05051","1980",70567
"109","05053","1980",13017
"110","05055","1980",30757
"111","05057","1980",23582
"112","05059","1980",26811
"113","05061","1980",13468
"114","05063","1980",30305
"115","05065","1980",10773
"116","05067","1980",21602
"117","05069","1980",90660
"118","05071","1980",17496
"119","05073","1980",10198
"120","05075","1980",18496
"121","05077","1980",15534
"122","05079","1980",13372
"123","05081","1980",13967
"124","05083","1980",20184
"125","05085","1980",34580
"126","05087","1980",11372
"127","05089","1980",11354
"128","05091","1980",37859
"129","05093","1980",59437
"130","05095","1980",13993
"131","05097","1980",7749
"132","05099","1980",11092
"133","05101","1980",7750
"134","05103","1980",30576
"135","05105","1980",7294
"136","05107","1980",34649
"137","05109","1980",10368
"138","05111","1980",26987
"139","05113","1980",17068
"140","05115","1980",39222
"141","05117","1980",10134
"142","05119","1980",341038
"143","05121","1980",16797
"144","05123","1980",30844
"145","05125","1980",53380
"146","05127","1980",9680
"147","05129","1980",8830
"148","05131","1980",95389
"149","05133","1980",14059
"150","05135","1980",14636
"151","05137","1980",9049
"152","05139","1980",48564
"153","05141","1980",13357
"154","05143","1980",100731
"155","05145","1980",50996
"156","05147","1980",11197
"157","05149","1980",17043
"158","06001","1980",1108791
"159","06003","1980",1100
"160","06005","1980",19502
"161","06007","1980",144879
"162","06009","1980",20922
"163","06011","1980",12871
"164","06013","1980",658588
"165","06015","1980",18331
"166","06017","1980",86590
"167","06019","1980",517717
"168","06021","1980",21503
"169","06023","1980",108930
"170","06025","1980",92602
"171","06027","1980",17906
"172","06029","1980",406458
"173","06031","1980",74272
"174","06033","1980",36833
"175","06035","1980",21853
"176","06037","1980",7502452
"177","06039","1980",63986
"178","06041","1980",222984
"179","06043","1980",11201
"180","06045","1980",67096
"181","06047","1980",135648
"182","06049","1980",8685
"183","06051","1980",8651
"184","06053","1980",292262
"185","06055","1980",99365
"186","06057","1980",52591
