NAME,SHORT,ZIP,AREA_KM2,POP_2018
Alabama,US_AL,AL,133635.6193,4887681.00
Arizona,US_AZ,AZ,295356.1806,7158024.00
Arkansas,US_AR,AR,137690.8685,3009733.00
California,US_CA,CA,409618.5578,39461588.00
Colorado,US_CO,CO,269735.9801,5691287.00
Connecticut,US_CT,CT,12892.34422,3571520.00
Delaware,US_DE,DE,5296.168932,965479.00
District of Columbia,US_DC,DC,166.0703197,701547.00
Florida,US_FL,FL,147461.3898,21244317.00
Georgia,US_GA,GA,152434.0977,10511131.00
Idaho,US_ID,ID,216440.0017,1750536.00
Illinois,US_IL,IL,150090.3683,12723071.00
Indiana,US_IN,IN,94363.8365,6695497.00
Iowa,US_IA,IA,145845.8735,3148618.00
Kansas,US_KS,KS,213123.2673,2911359.00
Kentucky,US_KY,KY,104525.0853,4461153.00
Louisiana,US_LA,LA,120736.8261,4659690.00
Maine,US_ME,ME,84363.27273,1339057.00
Maryland,US_MD,MD,25669.3999,6035802.00
Massachusetts,US_MA,MA,21023.39509,6882635.00
Michigan,US_MI,MI,250373.0007,9984072.00
Minnesota,US_MN,MN,225338.1851,5606249.00
Mississippi,US_MS,MS,123545.9671,2981020.00
Missouri,US_MO,MO,180568.939,6121623.00
Montana,US_MT,MT,380901.1403,1060665.00
Nebraska,US_NE,NE,200206.0047,1925614.00
Nevada,US_NV,NV,286283.9318,3027341.00
New Hampshire,US_NH,NH,23997.5126,1353465.00
New Jersey,US_NJ,NJ,19697.6602,8886025.00
New Mexico,US_NM,NM,314873.4362,2092741.00
New York,US_NY,NY,135199.0127,19530351.00
North Carolina,US_NC,NC,127818.0521,10381615.00
North Dakota,US_ND,ND,183129.9612,758080.00
Ohio,US_OH,OH,119946.0017,11676341.00
Oklahoma,US_OK,OK,181039.678,3940235.00
Oregon,US_OR,OR,251411.2445,4181886.00
Pennsylvania,US_PA,PA,117298.1212,12800922.00
Rhode Island,US_RI,RI,2833.376288,1058287.00
South Carolina,US_SC,SC,80125.16903,5084156.00
South Dakota,US_SD,SD,199758.1623,878698.00
Tennessee,US_TN,TN,109181.4474,6771631.00
Texas,US_TX,TX,686220.7286,28628666.00
Utah,US_UT,UT,219833.1008,3153550.00
Vermont,US_VT,VT,24948.52859,624358.00
Virginia,US_VA,VA,103744.5283,8501286.00
Washington,US_WA,WA,174875.6863,7523869.00
West Virginia,US_WV,WV,62689.79691,1804291.00
Wisconsin,US_WI,WI,169291.9923,5807406.00
Wyoming,US_WY,WY,253297.2195,577601.00
